555;Kép-, hang- és adathordozó;0.019;96.0
55;Kulturális cikkek;2.069;99.0
560;Virág, dísznövény;0.258;103.3
561;Állateledel;0.538;107.3
56;Virág, állateledel;0.796;106.0
51–56;Egyéb cikkek, üzemanyagok;17.976;92.3
5;Háztartási energia, egyéb cikkek;24.514;94.4
10–56;Termékek mindösszesen       ;72.685;102.1
601;Ruhajavítás, kölcsönzés;0.084;107.3
60;Ruhajavítás, készítés, kölcsönzés;0.084;107.3
610;Lakbér;1.398;104.3
612;Társasház közös költség;1.123;103.4
613;Lakásjavítás, -karbantartás;0.438;111.7
615;Szemétszállítás stb.;0.504;100.0
616;Vízdíj;0.676;100.0
617;Csatornadíj;0.816;100.0
61;Lakbér, lakásszolgáltatás           ;4.955;102.9
620;Háztartási berendezés javítása;0.066;109.3
621;Takarítás, mosatás;0.091;109.0
62;Háztartási szolgáltatás;0.157;109.2
630;Testápolási szolgáltatás;0.899;106.1
631;Egészségügyi szolgáltatás;3.561;104.8
63;Testápolási, egészségügyi szolgáltatás;4.460;105.1
640;Járműjavítás, -karbantartás;1.159;109.3
642;Autópályadíj, gépjárműkölcsönzés, parkolás;0.812;78.5
643;Helyi tömegközlekedés;0.354;100.1
644;Taxi;0.071;102.1
645;Utazás munkahelyre, iskolába;0.446;100.0
646;Utazás egyéb távolsági úti céllal;0.866;94.0
647;Teherszállítás;0.035;105.2
64;Közlekedési szolgáltatás;3.743;96.8
650;Telefon, internet;3.825;103.2
651;Postai szolgáltatás;0.069;109.5
65;Hírközlés;3.894;103.3
660;Kulturális cikkek javítása;0.045;106.4
661;Oktatási szolgáltatás;2.130;103.4
662;Színház;0.088;106.6
663;Mozi;0.067;105.0
664;Tv-előfizetés;0.381;103.4
665;Sport-, múzeumi belépők;0.996;104.0
66;Kulturális és szabadidő szolgáltatás;3.707;103.7
671;Szerencsejáték;0.989;107.8
67;Szerencsejáték;0.989;107.8
681;Üdülés belföldön;1.432;100.4
682;Üdülés külföldön;0.358;103.4
68;Üdülési szolgáltatás;1.79;100.9
690;Fényképészeti szolgáltatás;0.037;103.4
691;Fel nem sorolt szolgáltatások;3.499;102.3
69;Egyéb szolgáltatások;3.536;102.4
6;Szolgáltatások         ;27.315;102.6
